package	amd64_version	amd64_architecture	source	source_version	arm64_package	arm64_version	status	reason	selected
accountsservice	0.6.55-3+grm3u1	amd64	accountsservice	0.6.55-3+grm3u1	accountsservice	0.6.55-3+grm3u1	custom-rebuild	exact +grm/+han source authority must produce ARM64 binaries	
acl	2.2.53-10	amd64	acl	2.2.53-10	acl	2.2.53-10	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:77b22ebf33b1bd888a1f8a57e6fa7e1d67a45515d9b656efa782f2e96992af3c"", ""architecture"": ""arm64"", ""download_filename"": ""acl_2.2.53-10_arm64.deb"", ""filename"": ""pool/main/a/acl/acl_2.2.53-10_arm64.deb"", ""package"": ""acl"", ""sha256"": ""77b22ebf33b1bd888a1f8a57e6fa7e1d67a45515d9b656efa782f2e96992af3c"", ""size"": 59544, ""source"": ""acl"", ""source_version"": ""2.2.53-10"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/acl/acl_2.2.53-10_arm64.deb"", ""version"": ""2.2.53-10""}"
adduser	3.118+grm3u1	all	adduser	3.118+grm3u1	adduser	3.118+grm3u1	reuse-exact-all	exact vendor Architecture: all payload is preserved from the AMD64 reference and acquired through the vendor lock	
adwaita-icon-theme	3.38.0-1	all	adwaita-icon-theme	3.38.0-1	adwaita-icon-theme	3.38.0-1	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:2046876c82fc1c342b38ace9aa0661bcb3e167837c984b4bdc89702bc78df5ac"", ""architecture"": ""all"", ""download_filename"": ""adwaita-icon-theme_3.38.0-1_all.deb"", ""filename"": ""pool/main/a/adwaita-icon-theme/adwaita-icon-theme_3.38.0-1_all.deb"", ""package"": ""adwaita-icon-theme"", ""sha256"": ""2046876c82fc1c342b38ace9aa0661bcb3e167837c984b4bdc89702bc78df5ac"", ""size"": 10854680, ""source"": ""adwaita-icon-theme"", ""source_version"": ""3.38.0-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/adwaita-icon-theme/adwaita-icon-theme_3.38.0-1_all.deb"", ""version"": ""3.38.0-1""}"
alsa-utils	1.2.4-1	amd64	alsa-utils	1.2.4-1	alsa-utils	1.2.4-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:e8a1ef315c0218763de6031fca33e74b6b38c749aba148a0fa272cb5ea03a87f"", ""architecture"": ""arm64"", ""download_filename"": ""alsa-utils_1.2.4-1_arm64.deb"", ""filename"": ""pool/main/a/alsa-utils/alsa-utils_1.2.4-1_arm64.deb"", ""package"": ""alsa-utils"", ""sha256"": ""e8a1ef315c0218763de6031fca33e74b6b38c749aba148a0fa272cb5ea03a87f"", ""size"": 1039644, ""source"": ""alsa-utils"", ""source_version"": ""1.2.4-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/alsa-utils/alsa-utils_1.2.4-1_arm64.deb"", ""version"": ""1.2.4-1""}"
amd64-microcode	3.20230719.1~deb11u1	amd64	amd64-microcode	3.20230719.1~deb11u1			arch-omit	x86-64 CPU microcode is not applicable to ARM64	
apg	2.2.3.dfsg.1-5+b2	amd64	apg	2.2.3.dfsg.1-5	apg	2.2.3.dfsg.1-5+b1	source-exact-binnmu	source version is exact; terminal +bN differs by architecture	"{""apt_digest"": ""SHA256:c4c3bd56d18dd6d859d0cfa83c596cde624f4d1985a94c0cf1520a1e5d21f137"", ""architecture"": ""arm64"", ""download_filename"": ""apg_2.2.3.dfsg.1-5+b1_arm64.deb"", ""filename"": ""pool/main/a/apg/apg_2.2.3.dfsg.1-5+b1_arm64.deb"", ""package"": ""apg"", ""sha256"": ""c4c3bd56d18dd6d859d0cfa83c596cde624f4d1985a94c0cf1520a1e5d21f137"", ""size"": 52092, ""source"": ""apg"", ""source_version"": ""2.2.3.dfsg.1-5"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/apg/apg_2.2.3.dfsg.1-5%2bb1_arm64.deb"", ""version"": ""2.2.3.dfsg.1-5+b1""}"
appstream	0.14.4-1	amd64	appstream	0.14.4-1	appstream	0.14.4-1	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:8a9ef046fe8494a3b71f852831c9251cd9f18e1000714ad6b579eeb056d16efa"", ""architecture"": ""arm64"", ""download_filename"": ""appstream_0.14.4-1_arm64.deb"", ""filename"": ""pool/main/a/appstream/appstream_0.14.4-1_arm64.deb"", ""package"": ""appstream"", ""sha256"": ""8a9ef046fe8494a3b71f852831c9251cd9f18e1000714ad6b579eeb056d16efa"", ""size"": 321840, ""source"": ""appstream"", ""source_version"": ""0.14.4-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/appstream/appstream_0.14.4-1_arm64.deb"", ""version"": ""0.14.4-1""}"
apt	2.2.4	amd64	apt	2.2.4	apt	2.2.4	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:39cbe42f3e64c6359b445d6fed7385273881e507b8be1d3b653ec9fb7d4c917c"", ""architecture"": ""arm64"", ""download_filename"": ""apt_2.2.4_arm64.deb"", ""filename"": ""pool/main/a/apt/apt_2.2.4_arm64.deb"", ""package"": ""apt"", ""sha256"": ""39cbe42f3e64c6359b445d6fed7385273881e507b8be1d3b653ec9fb7d4c917c"", ""size"": 1432984, ""source"": ""apt"", ""source_version"": ""2.2.4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/apt/apt_2.2.4_arm64.deb"", ""version"": ""2.2.4""}"
apt-config-icons	0.14.4-1	all	appstream	0.14.4-1	apt-config-icons	0.14.4-1	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:5c17483a0670a48368f498264d7518b4297742c7bc68e3bdb4f571731acd1d3a"", ""architecture"": ""all"", ""download_filename"": ""apt-config-icons_0.14.4-1_all.deb"", ""filename"": ""pool/main/a/appstream/apt-config-icons_0.14.4-1_all.deb"", ""package"": ""apt-config-icons"", ""sha256"": ""5c17483a0670a48368f498264d7518b4297742c7bc68e3bdb4f571731acd1d3a"", ""size"": 10688, ""source"": ""appstream"", ""source_version"": ""0.14.4-1"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/appstream/apt-config-icons_0.14.4-1_all.deb"", ""version"": ""0.14.4-1""}"
apt-transport-https	2.2.4	all	apt	2.2.4	apt-transport-https	2.2.4	reuse-exact-all	exact Architecture: all binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:e77caf989ccce108e39b1558cb32ad4b190fbf6cc0b064245f4093816a2f21d4"", ""architecture"": ""all"", ""download_filename"": ""apt-transport-https_2.2.4_all.deb"", ""filename"": ""pool/main/a/apt/apt-transport-https_2.2.4_all.deb"", ""package"": ""apt-transport-https"", ""sha256"": ""e77caf989ccce108e39b1558cb32ad4b190fbf6cc0b064245f4093816a2f21d4"", ""size"": 159640, ""source"": ""apt"", ""source_version"": ""2.2.4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/apt/apt-transport-https_2.2.4_all.deb"", ""version"": ""2.2.4""}"
apt-utils	2.2.4	amd64	apt	2.2.4	apt-utils	2.2.4	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:80368bc75bab25f5dfb79d9666224c4d71b08062c22cc00a54d0c63bc7f4149e"", ""architecture"": ""arm64"", ""download_filename"": ""apt-utils_2.2.4_arm64.deb"", ""filename"": ""pool/main/a/apt/apt-utils_2.2.4_arm64.deb"", ""package"": ""apt-utils"", ""sha256"": ""80368bc75bab25f5dfb79d9666224c4d71b08062c22cc00a54d0c63bc7f4149e"", ""size"": 426300, ""source"": ""apt"", ""source_version"": ""2.2.4"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/apt/apt-utils_2.2.4_arm64.deb"", ""version"": ""2.2.4""}"
aptitude	0.8.13-3	amd64	aptitude	0.8.13-3	aptitude	0.8.13-3	exact-arm64	exact binary, source version, URL, size and SHA-256 locked	"{""apt_digest"": ""SHA256:301fe0b3695cd4afcd2268aac87d1fd94b2b06ad318f4d89af533d7817c311fb"", ""architecture"": ""arm64"", ""download_filename"": ""aptitude_0.8.13-3_arm64.deb"", ""filename"": ""pool/main/a/aptitude/aptitude_0.8.13-3_arm64.deb"", ""package"": ""aptitude"", ""sha256"": ""301fe0b3695cd4afcd2268aac87d1fd94b2b06ad318f4d89af533d7817c311fb"", ""size"": 1174712, ""source"": ""aptitude"", ""source_version"": ""0.8.13-3"", ""url"": ""https://snapshot.debian.org/archive/debian/20230730T235959Z/pool/main/a/aptitude/aptitude_0.8.13-3_arm64.deb"", ""version"": ""0.8.13-3""}"
