source	source_version	role	status	provenance	repository	commit_or_dsc_sha256
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	unresolved-exact-source			
adduser	3.118+grm3u1	reuse-all	unresolved-exact-source			
arc-icon-theme	20161113+grm3u1	reuse-all	unresolved-exact-source			
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	unresolved-exact-source			
celluloid	0.20-2+grm3u6	rebuild-arm64	unresolved-exact-source			
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	unresolved-exact-source			
debian-system-adjustments	3.2.1+grm3u1	reuse-all	unresolved-exact-source			
dpkg	1.20.12+grm3u1	rebuild-arm64	unresolved-exact-source			
eog	3.38.2-1+grm3u4	rebuild-arm64	unresolved-exact-source			
file-roller	3.38.1-1+grm3u3	rebuild-arm64	unresolved-exact-source			
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	unresolved-exact-source			
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	unresolved-exact-source			
gedit	3.38.1-1+grm3u3	rebuild-arm64	unresolved-exact-source			
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	unresolved-exact-source			
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	unresolved-exact-source			
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	unresolved-exact-source			
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	unresolved-exact-source			
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	unresolved-exact-source			
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-agent-service	0.4.8+grm3u1	reuse-all	unresolved-exact-source			
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	unresolved-exact-source			
gooroom-archive-keyring	20201012+grm3u1	reuse-all	unresolved-exact-source			
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	unresolved-exact-source			
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	unresolved-exact-source			
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	unresolved-exact-source			
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	unresolved-exact-source			
gooroom-client-server-register	1.1.1+han3u1	reuse-all	unresolved-exact-source			
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	unresolved-exact-source			
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	unresolved-exact-source			
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	unresolved-exact-source			
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	unresolved-exact-source			
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	unresolved-exact-source			
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-info	3.3.0+grm3u1	reuse-all	unresolved-exact-source			
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	unresolved-exact-source			
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-notice-applet	0.3.4+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-notifyd	0.5.0+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-resource-access-control	1.4.9+grm3u1	reuse-all	unresolved-exact-source			
gooroom-security-status-tools	0.3.9+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-security-utils	0.3.7+grm3u1	reuse-all	unresolved-exact-source			
gooroom-session-manager	0.3.9+grm3u1+han3u2	rebuild-arm64	unresolved-exact-source			
gooroom-showdesktop-applet	0.2.0+grm3u1	rebuild-arm64	unresolved-exact-source			
gooroom-software	3.30.6+5+grm3u6	rebuild-arm64	unresolved-exact-source			
gooroom-translations	20230728+han3u1	reuse-all	unresolved-exact-source			
gooroom-update	1.3.3+grm3u1	reuse-all	unresolved-exact-source			
gooroom-yelp-adjustments	0.3.10+han3u1	reuse-all	unresolved-exact-source			
gooroomsystem	1.1.3+grm3u1	reuse-all	unresolved-exact-source			
gtk+2.0	2.24.33-2+grm3u1	rebuild-arm64	unresolved-exact-source			
gtk+3.0	3.24.24-4+grm3u2	rebuild-arm64	unresolved-exact-source			
hancom-gooroom-themepack	0.3.3+han3u1	reuse-all	unresolved-exact-source			
hancom-toolkit	0.3.3+han3u1	rebuild-arm64	unresolved-exact-source			
hancom-viewer-installer	0.2.2+han3u1	rebuild-arm64	unresolved-exact-source			
hancomgrm-adjustments-utils	0.3.3+han3u1	rebuild-arm64	unresolved-exact-source			
libnma	1.8.30-1+grm3u2	rebuild-arm64	unresolved-exact-source			
lightdm	1.26.0-7+grm3u1	rebuild-arm64	unresolved-exact-source			
linux	5.10.179-1+grm3u1	rebuild-arm64	unresolved-exact-source			
linux-signed-amd64	5.10.179+1+grm3u1	arch-replace	arch-replace	architecture-replacement		
live-config	11.0.3+grm3u1	reuse-all	unresolved-exact-source			
live-installer	2023.06.30+han3u1	reuse-all	unresolved-exact-source			
metacity	1:3.38.0-2+grm3u1	rebuild-arm64	unresolved-exact-source			
mousetweaks	3.32.0-3+grm3u1	rebuild-arm64	unresolved-exact-source			
nautilus	3.38.2-1+deb11u1+grm3u8	rebuild-arm64	unresolved-exact-source			
network-manager	1.30.0-2+grm3u3	rebuild-arm64	unresolved-exact-source			
network-manager-applet	1.20.0-3+grm3u4	rebuild-arm64	unresolved-exact-source			
nimf	2023.06.30+grm3u1	rebuild-arm64	unresolved-exact-source			
p7zip	16.02+dfsg-8+grm3u1	rebuild-arm64	unresolved-exact-source			
pam-gooroom	0.4.3+grm3u1	rebuild-arm64	unresolved-exact-source			
policykit-1	0.105-31+nDeb11u1+grm3u1	rebuild-arm64	unresolved-exact-source			
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	unresolved-exact-source			
