reference_package	reference_version	mapping_status	source	source_version	target_package	target_version	target_architecture	custom_candidate
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	accountsservice	0.6.55-3+grm3u1	accountsservice	0.6.55-3+grm3u1	arm64	True
acl	2.2.53-10	exact-arm64	acl	2.2.53-10	acl	2.2.53-10	arm64	False
adduser	3.118+grm3u1	reuse-all	adduser	3.118+grm3u1	adduser	3.118+grm3u1	all	True
adwaita-icon-theme	3.38.0-1	reuse-all	adwaita-icon-theme	3.38.0-1	adwaita-icon-theme	3.38.0-1	all	False
alsa-utils	1.2.4-1	exact-arm64	alsa-utils	1.2.4-1	alsa-utils	1.2.4-1	arm64	False
apg	2.2.3.dfsg.1-5+b2	exact-arm64	apg	2.2.3.dfsg.1-5	apg	2.2.3.dfsg.1-5+b1	arm64	False
appstream	0.14.4-1	exact-arm64	appstream	0.14.4-1	appstream	0.14.4-1	arm64	False
apt	2.2.4	exact-arm64	apt	2.2.4	apt	2.2.4	arm64	False
apt-config-icons	0.14.4-1	reuse-all	appstream	0.14.4-1	apt-config-icons	0.14.4-1	all	False
apt-transport-https	2.2.4	reuse-all	apt	2.2.4	apt-transport-https	2.2.4	all	False
apt-utils	2.2.4	exact-arm64	apt	2.2.4	apt-utils	2.2.4	arm64	False
aptitude	0.8.13-3	exact-arm64	aptitude	0.8.13-3	aptitude	0.8.13-3	arm64	False
aptitude-common	0.8.13-3	reuse-all	aptitude	0.8.13-3	aptitude-common	0.8.13-3	all	False
arc-icon-theme	20161113+grm3u1	reuse-all	arc-icon-theme	20161113+grm3u1	arc-icon-theme	20161113+grm3u1	all	True
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	arc-theme	20200513-1+grm2u1+han3u2	arc-theme	20200513-1+grm2u1+han3u2	all	True
arp-scan	1.9.7-2	exact-arm64	arp-scan	1.9.7-2	arp-scan	1.9.7-2	arm64	False
at-spi2-core	2.38.0-4+deb11u1	exact-arm64	at-spi2-core	2.38.0-4+deb11u1	at-spi2-core	2.38.0-4+deb11u1	arm64	False
attr	1:2.4.48-6	exact-arm64	attr	1:2.4.48-6	attr	1:2.4.48-6	arm64	False
ayatana-indicator-application	0.8.0-1	exact-arm64	ayatana-indicator-application	0.8.0-1	ayatana-indicator-application	0.8.0-1	arm64	False
ayatana-indicator-common	0.8.4-1+deb11u2	reuse-all	libayatana-indicator	0.8.4-1+deb11u2	ayatana-indicator-common	0.8.4-1+deb11u2	all	False
base-files	11.1+deb11u7	exact-arm64	base-files	11.1+deb11u7	base-files	11.1+deb11u7	arm64	False
base-passwd	3.5.51	exact-arm64	base-passwd	3.5.51	base-passwd	3.5.51	arm64	False
bash	5.1-2+deb11u1	exact-arm64	bash	5.1-2+deb11u1	bash	5.1-2+deb11u1	arm64	False
bash-completion	1:2.11-2	reuse-all	bash-completion	1:2.11-2	bash-completion	1:2.11-2	all	False
bc	1.07.1-2+b2	exact-arm64	bc	1.07.1-2	bc	1.07.1-2+b2	arm64	False
binutils	2.35.2-2	exact-arm64	binutils	2.35.2-2	binutils	2.35.2-2	arm64	False
binutils-common	2.35.2-2	exact-arm64	binutils	2.35.2-2	binutils-common	2.35.2-2	arm64	False
binutils-x86-64-linux-gnu	2.35.2-2	arch-replace	binutils	2.35.2-2	binutils-aarch64-linux-gnu	2.35.2-2	arm64	False
bluez	5.55-3.1	exact-arm64	bluez	5.55-3.1	bluez	5.55-3.1	arm64	False
bluez-obexd	5.55-3.1	exact-arm64	bluez	5.55-3.1	bluez-obexd	5.55-3.1	arm64	False
bsdextrautils	2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	bsdextrautils	2.36.1-8+deb11u1	arm64	False
bsdutils	1:2.36.1-8+deb11u1	exact-arm64	util-linux	2.36.1-8+deb11u1	bsdutils	1:2.36.1-8+deb11u1	arm64	False
bubblewrap	0.4.1-3	exact-arm64	bubblewrap	0.4.1-3	bubblewrap	0.4.1-3	arm64	False
busybox	1:1.30.1-6+b3	exact-arm64	busybox	1:1.30.1-6	busybox	1:1.30.1-6+b3	arm64	False
bzip2	1.0.8-4	exact-arm64	bzip2	1.0.8-4	bzip2	1.0.8-4	arm64	False
ca-certificates	20210119	reuse-all	ca-certificates	20210119	ca-certificates	20210119	all	False
celluloid	0.20-2+grm3u6	rebuild-arm64	celluloid	0.20-2+grm3u6	celluloid	0.20-2+grm3u6	arm64	True
cheese-common	3.38.0-3	reuse-all	cheese	3.38.0-3	cheese-common	3.38.0-3	all	False
colord	1.4.5-3	exact-arm64	colord	1.4.5-3	colord	1.4.5-3	arm64	False
colord-data	1.4.5-3	reuse-all	colord	1.4.5-3	colord-data	1.4.5-3	all	False
console-setup	1.205	reuse-all	console-setup	1.205	console-setup	1.205	all	False
console-setup-linux	1.205	reuse-all	console-setup	1.205	console-setup-linux	1.205	all	False
coreutils	8.32-4+b1	exact-arm64	coreutils	8.32-4	coreutils	8.32-4	arm64	False
cpio	2.13+dfsg-4	exact-arm64	cpio	2.13+dfsg-4	cpio	2.13+dfsg-4	arm64	False
cpp	4:10.2.1-1	exact-arm64	gcc-defaults	1.190	cpp	4:10.2.1-1	arm64	False
cpp-10	10.2.1-6	exact-arm64	gcc-10	10.2.1-6	cpp-10	10.2.1-6	arm64	False
cracklib-runtime	2.9.6-3.4	exact-arm64	cracklib2	2.9.6-3.4	cracklib-runtime	2.9.6-3.4	arm64	False
cron	3.0pl1-137	exact-arm64	cron	3.0pl1-137	cron	3.0pl1-137	arm64	False
cups	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups	2.3.3op2-3+deb11u2	arm64	False
cups-browsed	1.28.7-1+deb11u2	exact-arm64	cups-filters	1.28.7-1+deb11u2	cups-browsed	1.28.7-1+deb11u2	arm64	False
cups-client	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups-client	2.3.3op2-3+deb11u2	arm64	False
cups-common	2.3.3op2-3+deb11u2	reuse-all	cups	2.3.3op2-3+deb11u2	cups-common	2.3.3op2-3+deb11u2	all	False
cups-core-drivers	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups-core-drivers	2.3.3op2-3+deb11u2	arm64	False
cups-daemon	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups-daemon	2.3.3op2-3+deb11u2	arm64	False
cups-filters	1.28.7-1+deb11u2	exact-arm64	cups-filters	1.28.7-1+deb11u2	cups-filters	1.28.7-1+deb11u2	arm64	False
cups-filters-core-drivers	1.28.7-1+deb11u2	exact-arm64	cups-filters	1.28.7-1+deb11u2	cups-filters-core-drivers	1.28.7-1+deb11u2	arm64	False
cups-ipp-utils	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups-ipp-utils	2.3.3op2-3+deb11u2	arm64	False
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	cups-pk-helper	0.2.6-1ubuntu3+grm3u1	cups-pk-helper	0.2.6-1ubuntu3+grm3u1	arm64	True
cups-ppdc	2.3.3op2-3+deb11u2	exact-arm64	cups	2.3.3op2-3+deb11u2	cups-ppdc	2.3.3op2-3+deb11u2	arm64	False
cups-server-common	2.3.3op2-3+deb11u2	reuse-all	cups	2.3.3op2-3+deb11u2	cups-server-common	2.3.3op2-3+deb11u2	all	False
curl	7.74.0-1.3+deb11u7	exact-arm64	curl	7.74.0-1.3+deb11u7	curl	7.74.0-1.3+deb11u7	arm64	False
dash	0.5.11+git20200708+dd9ef66-5	exact-arm64	dash	0.5.11+git20200708+dd9ef66-5	dash	0.5.11+git20200708+dd9ef66-5	arm64	False
davfs2	1.6.0-1	exact-arm64	davfs2	1.6.0-1	davfs2	1.6.0-1	arm64	False
dbus	1.12.24-0+deb11u1	exact-arm64	dbus	1.12.24-0+deb11u1	dbus	1.12.24-0+deb11u1	arm64	False
dbus-user-session	1.12.24-0+deb11u1	exact-arm64	dbus	1.12.24-0+deb11u1	dbus-user-session	1.12.24-0+deb11u1	arm64	False
dbus-x11	1.12.24-0+deb11u1	exact-arm64	dbus	1.12.24-0+deb11u1	dbus-x11	1.12.24-0+deb11u1	arm64	False
dc	1.07.1-2+b2	exact-arm64	bc	1.07.1-2	dc	1.07.1-2+b2	arm64	False
dconf-gsettings-backend	0.38.0-2	exact-arm64	dconf	0.38.0-2	dconf-gsettings-backend	0.38.0-2	arm64	False
dconf-service	0.38.0-2	exact-arm64	dconf	0.38.0-2	dconf-service	0.38.0-2	arm64	False
dctrl-tools	2.24-3+b1	exact-arm64	dctrl-tools	2.24-3	dctrl-tools	2.24-3	arm64	False
debconf	1.5.77	reuse-all	debconf	1.5.77	debconf	1.5.77	all	False
debconf-i18n	1.5.77	reuse-all	debconf	1.5.77	debconf-i18n	1.5.77	all	False
debian-archive-keyring	2021.1.1+deb11u1	reuse-all	debian-archive-keyring	2021.1.1+deb11u1	debian-archive-keyring	2021.1.1+deb11u1	all	False
debian-system-adjustments	3.2.1+grm3u1	reuse-all	debian-system-adjustments	3.2.1+grm3u1	debian-system-adjustments	3.2.1+grm3u1	all	True
debianutils	4.11.2	exact-arm64	debianutils	4.11.2	debianutils	4.11.2	arm64	False
desktop-base	11.0.3	reuse-all	desktop-base	11.0.3	desktop-base	11.0.3	all	False
desktop-file-utils	0.26-1	exact-arm64	desktop-file-utils	0.26-1	desktop-file-utils	0.26-1	arm64	False
dictionaries-common	1.28.4	reuse-all	dictionaries-common	1.28.4	dictionaries-common	1.28.4	all	False
diffutils	1:3.7-5	exact-arm64	diffutils	1:3.7-5	diffutils	1:3.7-5	arm64	False
dirmngr	2.2.27-2+deb11u2	exact-arm64	gnupg2	2.2.27-2+deb11u2	dirmngr	2.2.27-2+deb11u2	arm64	False
distro-info-data	0.51+deb11u3	reuse-all	distro-info-data	0.51+deb11u3	distro-info-data	0.51+deb11u3	all	False
dmidecode	3.3-2	exact-arm64	dmidecode	3.3-2	dmidecode	3.3-2	arm64	False
dmsetup	2:1.02.175-2.1	exact-arm64	lvm2	2.03.11-2.1	dmsetup	2:1.02.175-2.1	arm64	False
