elf	name	target_size	candidate_size	target_present	candidate_present
main	applet_get_resource	12	12	true	true
main	build_control_ui	546	519	true	true
main	datetime_control_get_resource	12	12	true	true
main	datetime_module_control_destroy	85	85	true	true
main	datetime_module_control_menu_destroy	61	61	true	true
main	datetime_module_control_menu_new	417	417	true	true
main	datetime_module_control_new	86	86	true	true
main	datetime_module_get_type	96	96	true	true
main	datetime_module_tray_new	102	102	true	true
main	endsession_control_get_resource	12	12	true	true
main	endsession_module_control_destroy	61	61	true	true
main	endsession_module_control_new	752	752	true	true
main	endsession_module_get_type	96	96	true	true
main	gooroom_calendar_get_type	96	96	true	true
main	gooroom_integration_applet_get_type	96	96	true	true
main	gp_module_load	135	135	true	true
main	is_admin_group	340	340	true	true
main	is_local_user	175	175	true	true
main	is_standalone_mode	213	213	true	true
main	is_systemd_service_active	583	583	true	true
main	is_systemd_service_available	227	227	true	true
main	launch_desktop_id	2476	2476	true	true
main	nimf_control_get_resource	12	12	true	true
main	nimf_module_control_destroy	61	61	true	true
main	nimf_module_control_menu_destroy	61	61	true	true
main	nimf_module_control_menu_new	918	918	true	true
main	nimf_module_control_new	810	810	true	true
main	nimf_module_get_type	96	96	true	true
main	nimf_module_tray_new	142	142	true	true
main	panel_g_utf8_strstrcase	519	519	true	true
main	popup_window_get_type	96	96	true	true
main	popup_window_new	80	80	true	true
main	popup_window_set_workarea	69	69	true	true
main	popup_window_setup_datetime	265	265	true	true
main	popup_window_setup_nimf	228	228	true	true
main	popup_window_setup_power	259	259	true	true
main	popup_window_setup_security	265	265	true	true
main	popup_window_setup_sound	182	182	true	true
main	popup_window_setup_updater	265	265	true	true
main	popup_window_setup_user	318	190	true	true
main	power_module_battery_control_destroy	101	101	true	true
main	power_module_battery_control_new	590	590	true	true
main	power_module_brightness_control_destroy	61	61	true	true
main	power_module_brightness_control_new	432	432	true	true
main	power_module_get_type	96	96	true	true
main	power_module_tray_new	153	153	true	true
main	pulseaudio_debug_real	215	215	true	true
main	pulseaudio_volume_get_connected	73	73	true	true
main	pulseaudio_volume_get_muted	73	73	true	true
main	pulseaudio_volume_get_type	96	96	true	true
main	pulseaudio_volume_get_volume	83	83	true	true
main	pulseaudio_volume_set_muted	185	185	true	true
main	pulseaudio_volume_set_volume	276	276	true	true
main	pulseaudio_volume_toggle_muted	86	86	true	true
main	run_security_log_parser_async	448	448	true	true
main	security_control_get_resource	12	12	true	true
main	security_module_control_destroy	61	61	true	true
main	security_module_control_menu_destroy	61	61	true	true
main	security_module_control_menu_new	433	433	true	true
main	security_module_control_new	361	361	true	true
main	security_module_get_type	96	96	true	true
main	security_module_tray_new	156	156	true	true
main	send_taking_measure_signal_to_self	89	89	true	true
main	send_taking_measures_signal_to_agent	199	199	true	true
main	sound_module_control_destroy	61	61	true	true
main	sound_module_control_new	664	664	true	true
main	sound_module_get_type	96	96	true	true
main	sound_module_tray_new	156	156	true	true
main	updater_control_get_resource	12	12	true	true
main	updater_module_control_destroy	61	61	true	true
main	updater_module_control_menu_destroy	61	61	true	true
main	updater_module_control_menu_new	721	721	true	true
main	updater_module_control_new	401	401	true	true
main	updater_module_get_type	96	96	true	true
main	updater_module_tray_new	142	142	true	true
main	user_control_get_resource	12	12	true	true
main	user_module_control_destroy	85	85	true	true
main	user_module_control_new	345	345	true	true
main	user_module_get_type	96	96	true	true
main	user_module_tray_new	241	241	true	true
nimf	module_register_type	176	176	true	true
nimf	nimf_gooroom_get_type	8	8	true	true
