index	commit	author_date	subject	needles
49	d170c900dab655bd5c6d8474064e445232d3f49c	2022-09-01T19:08:14+09:00	Cleanmode version added & UI updated	/tmp/.cleanmode,gtk_widget_override_background_color
50	bc1ffb09ce84b3d7f0428ecc9bbe46ef929074f5	2022-09-08T15:31:07+09:00	Version 0.3.3+grm3u1 released	/tmp/.cleanmode,gtk_widget_override_background_color
51	5fa1a15a72264875d4a7aaf5d4b0cfe8437936a3	2022-09-22T13:56:24+09:00	Fixed static code analysis issue	/tmp/.cleanmode,gtk_widget_override_background_color
52	700b941206bec133317591fb99ba6d1d3917f9fc	2022-09-23T12:07:25+09:00	Version 0.3.4+grm3u1 released	/tmp/.cleanmode,gtk_widget_override_background_color
53	76220f16f33e290fe379493e68b9d5f2c6bd3ed0	2023-05-22T16:29:34+09:00	Resolve security alert title initialization issues	/tmp/.cleanmode,g_string_erase,gtk_widget_override_background_color
54	168ff81421ea1f5bae9e715c5ccdd559e015d44c	2023-06-15T13:40:43+09:00	Version 0.3.5+grm3u1 released	/tmp/.cleanmode,g_string_erase,gtk_widget_override_background_color
55	39c70ff0e7c5e43afe610cb572fd40bf679eb5ed	2023-08-29T15:28:45+09:00	Rebase to debian 12	/tmp/.cleanmode,g_string_erase,gtk_widget_override_background_color
56	83a52fac6deaba0aab89c94b2516aa9cbd10f076	2023-09-13T17:15:35+09:00	Released for gooroom-4.0	/tmp/.cleanmode,g_string_erase
57	644a9535fa3f8c77a3fa3db9be1fb6db3b40d4f3	2023-10-30T10:32:27+09:00	Changed the install location of tablet-mode-change-helper	/tmp/.cleanmode,g_string_erase
58	8cfbec0cb02ddde8abe599c46446c2160a27b0ef	2023-12-21T11:13:13+09:00	Add condition to display Tablet Mode UI	/tmp/.cleanmode,g_string_erase
59	8b1da1e3686124d4a570b246815156bb10d66964	2024-03-05T11:28:02+09:00	Version 0.4.0+grm4u1 released	/tmp/.cleanmode,g_string_erase
60	0a6c50d0bf43aa21bd605d226bea4f1ff14609eb	2024-05-27T15:23:16+09:00	[Bug:5617] Fixed a bug where the dialog displayed when changing tablet mode was not touched.	/tmp/.cleanmode,g_string_erase
61	4cdbf79697dff783a41601dda9d69adc451d997a	2024-05-27T18:34:20+09:00	Version 0.4.1+grm4u1 released	/tmp/.cleanmode,g_string_erase
62	b6bff370c0fbc6d043835bcb128dbd15fb6907be	2024-06-24T17:01:12+09:00	Change the exposure conditions of button for switching tablet mode	/tmp/.cleanmode,g_string_erase
63	a75f5f1ad61609f9b3ce29dc10f3907cbe061fb3	2024-07-02T13:34:23+09:00	Change the exposure conditions of button for switching tablet mode	/tmp/.cleanmode,g_string_erase
64	6ba382e2177496831f8028a26a7119cc1da2871a	2024-08-29T23:41:26-07:00	Merge "Change the exposure conditions of button for switching tablet mode" into gooroom-4.0	/tmp/.cleanmode,g_string_erase
65	d4b7ac16fc4f578141af65f88bfecef3716af1ec	2024-08-30T15:43:12+09:00	Version 0.4.2+grm4u1 released	/tmp/.cleanmode,g_string_erase
66	bc11e0654fc0bd3396f6c6f7aede892cb497e7f8	2024-08-29T23:47:20-07:00	Merge "Change the exposure conditions of button for switching tablet mode" into gooroom-4.0	/tmp/.cleanmode,g_string_erase
