path	classification	unsigned_equal	runtime_equal	executable_equal	writable_equal	symbol_equal	text_equal	different_runtime_sections
kernel/arch/x86/crypto/aegis128-aesni.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/aesni-intel.ko	runtime-code-or-symbol-different	false	false	false	true	true	false	.text,__versions
kernel/arch/x86/crypto/blake2s-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/blowfish-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/camellia-aesni-avx-x86_64.ko	runtime-code-or-symbol-different	false	false	false	true	false	false	.text,__versions
kernel/arch/x86/crypto/camellia-aesni-avx2.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/camellia-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/cast5-avx-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/cast6-avx-x86_64.ko	runtime-code-or-symbol-different	false	false	false	true	true	false	.text,__versions
kernel/arch/x86/crypto/chacha-x86_64.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.data..ro_after_init,.rodata,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__bug_table,__jump_table,__versions
kernel/arch/x86/crypto/crc32-pclmul.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/crc32c-intel.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/crct10dif-pclmul.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/curve25519-x86_64.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.data..ro_after_init,.exit.text,.init.text,.rodata,.rodata.str1.1,.rodata.str1.8,.text,__bug_table,__jump_table,__versions
kernel/arch/x86/crypto/des3_ede-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/ghash-clmulni-intel.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/glue_helper.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/poly1305-x86_64.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.data..ro_after_init,.rodata,.rodata.str1.1,.rodata.str1.8,.text,.text.unlikely,__bug_table,__jump_table,__versions
kernel/arch/x86/crypto/serpent-avx-x86_64.ko	runtime-code-or-symbol-different	false	false	false	true	false	false	.text,__versions
kernel/arch/x86/crypto/serpent-avx2.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/serpent-sse2-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/sha1-ssse3.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/sha256-ssse3.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/sha512-ssse3.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/twofish-avx-x86_64.ko	runtime-code-or-symbol-different	false	false	false	true	true	false	.text,__versions
kernel/arch/x86/crypto/twofish-x86_64-3way.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/crypto/twofish-x86_64.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/events/amd/power.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/events/intel/intel-cstate.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/events/intel/intel-uncore.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/events/rapl.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/kernel/cpu/mce/mce-inject.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/kernel/cpuid.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/kernel/msr.ko	runtime-data-different-code-equivalent	false	false	true	true	true	true	__versions
kernel/arch/x86/kvm/kvm-amd.ko	runtime-code-or-symbol-different	false	false	false	false	false	false	.orc_unwind,.orc_unwind_ip,.return_sites,.rodata.str1.8,.text,__dyndbg,__jump_table,__versions
