reference_package	reference_version	reference_architecture	source	source_version	target_package	target_architecture	disposition	match_reason	candidate_version	candidate_sha256	repository_filename
accountsservice	0.6.55-3+grm3u1	amd64	accountsservice	0.6.55-3+grm3u1	accountsservice	arm64	native-arm64	exact-binary-and-source-version	0.6.55-3+grm3u1	2f64ce63cb666be87ac5aff05934d0d81845bd8d4cdc20489b316f234ce68eb8	2f64ce63cb666be87ac5aff05934d0d81845bd8d4cdc20489b316f234ce68eb8-accountsservice_0.6.55-3+grm3u1_arm64.deb
acl	2.2.53-10	amd64	acl	2.2.53-10	acl	arm64	native-arm64	exact-binary-and-source-version	2.2.53-10	77b22ebf33b1bd888a1f8a57e6fa7e1d67a45515d9b656efa782f2e96992af3c	77b22ebf33b1bd888a1f8a57e6fa7e1d67a45515d9b656efa782f2e96992af3c-acl_2.2.53-10_arm64.deb
adduser	3.118+grm3u1	all	adduser	3.118+grm3u1	adduser	all	reuse-all	exact-binary-and-source-version	3.118+grm3u1	1c54af742f2c9fd2677cf0df8d9ef0fc9c87e62b9d391e32e5ced6a36ae8b2fc	1c54af742f2c9fd2677cf0df8d9ef0fc9c87e62b9d391e32e5ced6a36ae8b2fc-adduser_3.118+grm3u1_all.deb
adwaita-icon-theme	3.38.0-1	all	adwaita-icon-theme	3.38.0-1	adwaita-icon-theme	all	reuse-all	exact-binary-and-source-version	3.38.0-1	2046876c82fc1c342b38ace9aa0661bcb3e167837c984b4bdc89702bc78df5ac	2046876c82fc1c342b38ace9aa0661bcb3e167837c984b4bdc89702bc78df5ac-adwaita-icon-theme_3.38.0-1_all.deb
alsa-utils	1.2.4-1	amd64	alsa-utils	1.2.4-1	alsa-utils	arm64	native-arm64	exact-binary-and-source-version	1.2.4-1	e8a1ef315c0218763de6031fca33e74b6b38c749aba148a0fa272cb5ea03a87f	e8a1ef315c0218763de6031fca33e74b6b38c749aba148a0fa272cb5ea03a87f-alsa-utils_1.2.4-1_arm64.deb
apg	2.2.3.dfsg.1-5+b2	amd64	apg	2.2.3.dfsg.1-5	apg	arm64	native-arm64	exact-source-version-architecture-binnmu	2.2.3.dfsg.1-5+b1	c4c3bd56d18dd6d859d0cfa83c596cde624f4d1985a94c0cf1520a1e5d21f137	c4c3bd56d18dd6d859d0cfa83c596cde624f4d1985a94c0cf1520a1e5d21f137-apg_2.2.3.dfsg.1-5+b1_arm64.deb
appstream	0.14.4-1	amd64	appstream	0.14.4-1	appstream	arm64	native-arm64	exact-binary-and-source-version	0.14.4-1	8a9ef046fe8494a3b71f852831c9251cd9f18e1000714ad6b579eeb056d16efa	8a9ef046fe8494a3b71f852831c9251cd9f18e1000714ad6b579eeb056d16efa-appstream_0.14.4-1_arm64.deb
apt	2.2.4	amd64	apt	2.2.4	apt	arm64	native-arm64	exact-binary-and-source-version	2.2.4	39cbe42f3e64c6359b445d6fed7385273881e507b8be1d3b653ec9fb7d4c917c	39cbe42f3e64c6359b445d6fed7385273881e507b8be1d3b653ec9fb7d4c917c-apt_2.2.4_arm64.deb
apt-config-icons	0.14.4-1	all	appstream	0.14.4-1	apt-config-icons	all	reuse-all	exact-binary-and-source-version	0.14.4-1	5c17483a0670a48368f498264d7518b4297742c7bc68e3bdb4f571731acd1d3a	5c17483a0670a48368f498264d7518b4297742c7bc68e3bdb4f571731acd1d3a-apt-config-icons_0.14.4-1_all.deb
apt-transport-https	2.2.4	all	apt	2.2.4	apt-transport-https	all	reuse-all	exact-binary-and-source-version	2.2.4	e77caf989ccce108e39b1558cb32ad4b190fbf6cc0b064245f4093816a2f21d4	e77caf989ccce108e39b1558cb32ad4b190fbf6cc0b064245f4093816a2f21d4-apt-transport-https_2.2.4_all.deb
