reference_package	target_package	reason	source	source_version	disposition	target_architecture	candidate_version	candidate_architecture	candidate_sha256	x86_payload_count	foreign_payload_count	available_candidate_count
firmware-atheros	firmware-atheros	candidate-payload-architecture-audit-failed	firmware-nonfree	20210315-3			20210315-3	all	f5e75316beeed9100230e8662571864f5d0329b461219edbf0b10949b05701dd	5	6	0
firmware-misc-nonfree	firmware-misc-nonfree	candidate-payload-architecture-audit-failed	firmware-nonfree	20210315-3			20210315-3	all	3c77731b43f22ca26d4f9c9110202a088e3425cd34473370467168edc81ef6a0	0	1	0
firmware-netronome	firmware-netronome	candidate-payload-architecture-audit-failed	firmware-nonfree	20210315-3			20210315-3	all	15daf08a834c09e4b549e206c16b210f3d25b2abaa675000d50c838809b163f6	0	40	0
firmware-qcom-soc	firmware-qcom-soc	candidate-payload-architecture-audit-failed	firmware-nonfree	20210315-3			20210315-3	all	22e31751a620f132406c4084bc8dc245d18c146618190c07ee77338ebcfa9083	0	23	0
gnome-control-center	gnome-control-center	no-exact-source-version-candidate	gnome-control-center	1:3.38.4-1+grm3u9	native-arm64	arm64				0	0	1
gnome-flashback	gnome-flashback	no-exact-source-version-candidate	gnome-flashback	3.38.0-2+grm3u2+han3u4	native-arm64	arm64				0	0	1
gooroom-applauncher-applet	gooroom-applauncher-applet	no-exact-source-version-candidate	gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	native-arm64	arm64				0	0	1
gooroom-browser	gooroom-browser	no-exact-source-version-candidate	gooroom-browser	3.5.0-1+grm3u3	native-arm64	arm64				0	0	1
gooroom-dockbarx-applet	gooroom-dockbarx-applet	no-exact-source-version-candidate	gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	native-arm64	arm64				0	0	1
gooroom-greeter	gooroom-greeter	no-exact-source-version-candidate	gooroom-greeter	0.3.1+grm3u1+han3u2	native-arm64	arm64				0	0	1
gooroom-guide	gooroom-guide	no-exact-source-version-candidate	gooroom-guide	0.5.3+grm3u1+han3u1	native-arm64	arm64				0	0	1
gooroom-integration-applet	gooroom-integration-applet	no-exact-source-version-candidate	gooroom-integration-applet	0.3.1+grm3u1+han3u3	native-arm64	arm64				0	0	1
gooroom-libsecurity-extensions	gooroom-libsecurity-extensions	no-exact-source-version-candidate	gooroom-libsecurity-extensions	0.1.7+grm3u1	native-arm64	arm64				0	0	1
gooroom-security-status-tools	gooroom-security-status-tools	no-exact-source-version-candidate	gooroom-security-status-tools	0.3.9+grm3u1	native-arm64	arm64				0	0	1
gooroom-session-manager	gooroom-session-manager	no-exact-source-version-candidate	gooroom-session-manager	0.3.9+grm3u1+han3u2	native-arm64	arm64				0	0	1
linux-image-5.10.0-23-amd64	linux-image-5.10.0-23-arm64	no-exact-source-version-candidate	linux	5.10.179-1+grm3u1	arch-replace	arm64				0	0	0
libqt5core5a	libqt5core5a	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5dbus5	libqt5dbus5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5gui5	libqt5gui5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5network5	libqt5network5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5printsupport5	libqt5printsupport5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5sql5	libqt5sql5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5test5	libqt5test5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5widgets5	libqt5widgets5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
libqt5xml5	libqt5xml5	no-exact-source-version-candidate	qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	native-arm64	arm64				0	0	1
