package	version	architecture	source	source_version	multi_arch	essential	priority	section	custom_candidate
accountsservice	0.6.55-3+grm3u1	amd64	accountsservice	0.6.55-3+grm3u1		no	optional	admin	True
acl	2.2.53-10	amd64	acl	2.2.53-10	foreign	no	optional	utils	False
adduser	3.118+grm3u1	all	adduser	3.118+grm3u1	foreign	no	important	admin	True
adwaita-icon-theme	3.38.0-1	all	adwaita-icon-theme	3.38.0-1	foreign	no	optional	gnome	False
alsa-utils	1.2.4-1	amd64	alsa-utils	1.2.4-1	foreign	no	optional	sound	False
amd64-microcode	3.20230719.1~deb11u1	amd64	amd64-microcode	3.20230719.1~deb11u1		no	standard	non-free/admin	False
apg	2.2.3.dfsg.1-5+b2	amd64	apg	2.2.3.dfsg.1-5		no	optional	admin	False
appstream	0.14.4-1	amd64	appstream	0.14.4-1		no	optional	admin	False
apt	2.2.4	amd64	apt	2.2.4		no	required	admin	False
apt-config-icons	0.14.4-1	all	appstream	0.14.4-1	foreign	no	optional	misc	False
apt-transport-https	2.2.4	all	apt	2.2.4	foreign	no	optional	oldlibs	False
apt-utils	2.2.4	amd64	apt	2.2.4		no	important	admin	False
aptitude	0.8.13-3	amd64	aptitude	0.8.13-3	foreign	no	optional	admin	False
aptitude-common	0.8.13-3	all	aptitude	0.8.13-3	foreign	no	optional	admin	False
arc-icon-theme	20161113+grm3u1	all	arc-icon-theme	20161113+grm3u1		no	extra	misc	True
arc-theme	20200513-1+grm2u1+han3u2	all	arc-theme	20200513-1+grm2u1+han3u2		no	optional	misc	True
arp-scan	1.9.7-2	amd64	arp-scan	1.9.7-2		no	optional	admin	False
at-spi2-core	2.38.0-4+deb11u1	amd64	at-spi2-core	2.38.0-4+deb11u1	foreign	no	optional	misc	False
attr	1:2.4.48-6	amd64	attr	1:2.4.48-6	foreign	no	optional	utils	False
ayatana-indicator-application	0.8.0-1	amd64	ayatana-indicator-application	0.8.0-1		no	optional	x11	False
ayatana-indicator-common	0.8.4-1+deb11u2	all	libayatana-indicator	0.8.4-1+deb11u2	foreign	no	optional	libs	False
base-files	11.1+deb11u7	amd64	base-files	11.1+deb11u7	foreign	yes	required	admin	False
base-passwd	3.5.51	amd64	base-passwd	3.5.51	foreign	yes	required	admin	False
bash	5.1-2+deb11u1	amd64	bash	5.1-2+deb11u1	foreign	yes	required	shells	False
bash-completion	1:2.11-2	all	bash-completion	1:2.11-2	foreign	no	standard	shells	False
bc	1.07.1-2+b2	amd64	bc	1.07.1-2	foreign	no	standard	math	False
binutils	2.35.2-2	amd64	binutils	2.35.2-2		no	optional	devel	False
binutils-common	2.35.2-2	amd64	binutils	2.35.2-2	same	no	optional	devel	False
binutils-x86-64-linux-gnu	2.35.2-2	amd64	binutils	2.35.2-2	allowed	no	optional	devel	False
bluez	5.55-3.1	amd64	bluez	5.55-3.1	foreign	no	optional	admin	False
bluez-obexd	5.55-3.1	amd64	bluez	5.55-3.1		no	optional	admin	False
bsdextrautils	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	no	optional	utils	False
bsdutils	1:2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	yes	required	utils	False
bubblewrap	0.4.1-3	amd64	bubblewrap	0.4.1-3	foreign	no	optional	admin	False
busybox	1:1.30.1-6+b3	amd64	busybox	1:1.30.1-6		no	optional	utils	False
bzip2	1.0.8-4	amd64	bzip2	1.0.8-4	foreign	no	standard	utils	False
ca-certificates	20210119	all	ca-certificates	20210119	foreign	no	optional	misc	False
celluloid	0.20-2+grm3u6	amd64	celluloid	0.20-2+grm3u6		no	optional	video	True
cheese-common	3.38.0-3	all	cheese	3.38.0-3	foreign	no	optional	gnome	False
colord	1.4.5-3	amd64	colord	1.4.5-3	foreign	no	optional	graphics	False
colord-data	1.4.5-3	all	colord	1.4.5-3		no	optional	graphics	False
console-setup	1.205	all	console-setup	1.205	foreign	no	optional	utils	False
console-setup-linux	1.205	all	console-setup	1.205	foreign	no	optional	utils	False
coreutils	8.32-4+b1	amd64	coreutils	8.32-4	foreign	yes	required	utils	False
cpio	2.13+dfsg-4	amd64	cpio	2.13+dfsg-4	foreign	no	important	utils	False
cpp	4:10.2.1-1	amd64	gcc-defaults	1.190	allowed	no	optional	interpreters	False
cpp-10	10.2.1-6	amd64	gcc-10	10.2.1-6		no	optional	interpreters	False
cracklib-runtime	2.9.6-3.4	amd64	cracklib2	2.9.6-3.4	foreign	no	optional	admin	False
cron	3.0pl1-137	amd64	cron	3.0pl1-137	foreign	no	important	admin	False
cups	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-browsed	1.28.7-1+deb11u2	amd64	cups-filters	1.28.7-1+deb11u2		no	optional	net	False
cups-client	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-common	2.3.3op2-3+deb11u2	all	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-core-drivers	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-daemon	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-filters	1.28.7-1+deb11u2	amd64	cups-filters	1.28.7-1+deb11u2		no	optional	net	False
cups-filters-core-drivers	1.28.7-1+deb11u2	amd64	cups-filters	1.28.7-1+deb11u2		no	optional	net	False
cups-ipp-utils	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	amd64	cups-pk-helper	0.2.6-1ubuntu3+grm3u1		no	extra	gnome	True
cups-ppdc	2.3.3op2-3+deb11u2	amd64	cups	2.3.3op2-3+deb11u2	foreign	no	optional	utils	False
cups-server-common	2.3.3op2-3+deb11u2	all	cups	2.3.3op2-3+deb11u2	foreign	no	optional	net	False
curl	7.74.0-1.3+deb11u7	amd64	curl	7.74.0-1.3+deb11u7	foreign	no	optional	web	False
dash	0.5.11+git20200708+dd9ef66-5	amd64	dash	0.5.11+git20200708+dd9ef66-5	foreign	yes	required	shells	False
davfs2	1.6.0-1	amd64	davfs2	1.6.0-1		no	optional	utils	False
dbus	1.12.24-0+deb11u1	amd64	dbus	1.12.24-0+deb11u1	foreign	no	standard	admin	False
dbus-user-session	1.12.24-0+deb11u1	amd64	dbus	1.12.24-0+deb11u1	foreign	no	optional	admin	False
dbus-x11	1.12.24-0+deb11u1	amd64	dbus	1.12.24-0+deb11u1	foreign	no	optional	x11	False
dc	1.07.1-2+b2	amd64	bc	1.07.1-2	foreign	no	standard	math	False
dconf-gsettings-backend	0.38.0-2	amd64	dconf	0.38.0-2	same	no	optional	libs	False
dconf-service	0.38.0-2	amd64	dconf	0.38.0-2	foreign	no	optional	libs	False
dctrl-tools	2.24-3+b1	amd64	dctrl-tools	2.24-3	foreign	no	optional	utils	False
debconf	1.5.77	all	debconf	1.5.77	foreign	no	required	admin	False
debconf-i18n	1.5.77	all	debconf	1.5.77		no	important	localization	False
debian-archive-keyring	2021.1.1+deb11u1	all	debian-archive-keyring	2021.1.1+deb11u1	foreign	no	important	misc	False
debian-system-adjustments	3.2.1+grm3u1	all	debian-system-adjustments	3.2.1+grm3u1		no	optional	admin	True
debianutils	4.11.2	amd64	debianutils	4.11.2	foreign	yes	required	utils	False
desktop-base	11.0.3	all	desktop-base	11.0.3		no	optional	x11	False
desktop-file-utils	0.26-1	amd64	desktop-file-utils	0.26-1	foreign	no	optional	devel	False
dictionaries-common	1.28.4	all	dictionaries-common	1.28.4	foreign	no	optional	text	False
diffutils	1:3.7-5	amd64	diffutils	1:3.7-5		yes	required	utils	False
dirmngr	2.2.27-2+deb11u2	amd64	gnupg2	2.2.27-2+deb11u2	foreign	no	optional	utils	False
distro-info-data	0.51+deb11u3	all	distro-info-data	0.51+deb11u3	foreign	no	optional	devel	False
dmidecode	3.3-2	amd64	dmidecode	3.3-2	foreign	no	important	utils	False
dmsetup	2:1.02.175-2.1	amd64	lvm2	2.03.11-2.1	foreign	no	optional	admin	False
dnsmasq-base	2.85-1	amd64	dnsmasq	2.85-1		no	optional	net	False
dosfstools	4.2-1	amd64	dosfstools	4.2-1		no	optional	otherosfs	False
dpkg	1.20.12+grm3u1	amd64	dpkg	1.20.12+grm3u1	foreign	yes	required	admin	True
e2fsprogs	1.46.2-2	amd64	e2fsprogs	1.46.2-2	foreign	no	required	admin	False
ecryptfs-utils	111-5	amd64	ecryptfs-utils	111-5		no	optional	misc	False
eject	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	no	optional	utils	False
emacsen-common	3.0.4	all	emacsen-common	3.0.4		no	optional	editors	False
eog	3.38.2-1+grm3u4	amd64	eog	3.38.2-1+grm3u4		no	optional	gnome	True
evolution-data-server-common	3.38.3-1+deb11u2	all	evolution-data-server	3.38.3-1+deb11u2	foreign	no	optional	gnome	False
exfat-fuse	1.3.0-2	amd64	fuse-exfat	1.3.0-2		no	optional	otherosfs	False
exfat-utils	1.3.0-2	amd64	exfat-utils	1.3.0-2		no	optional	otherosfs	False
faba-icon-theme	4.3-1	all	faba-icon-theme	4.3-1		no	optional	misc	False
faenza-icon-theme	1.3.1-1.1	all	faenza-icon-theme	1.3.1-1.1		no	optional	gnome	False
fdisk	2.36.1-8+deb11u1	amd64	util-linux	2.36.1-8+deb11u1	foreign	no	important	utils	False
file	1:5.39-3	amd64	file	1:5.39-3	foreign	no	standard	utils	False
file-roller	3.38.1-1+grm3u3	amd64	file-roller	3.38.1-1+grm3u3		no	optional	gnome	True
findutils	4.8.0-1	amd64	findutils	4.8.0-1	foreign	yes	required	utils	False
firmware-amd-graphics	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-atheros	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-bnx2	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-bnx2x	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-brcm80211	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-cavium	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
firmware-intel-sound	20210315-3	all	firmware-nonfree	20210315-3	foreign	no	optional	non-free/kernel	False
