source	source_version	binary_packages	custom_candidate
a52dec	0.7.4-20	liba52-0.7.4	False
aalib	1.4p5-48	libaa1	False
accountsservice	0.6.55-3+grm3u1	accountsservice,libaccountsservice0	False
acl	2.2.53-10	acl,libacl1	False
adduser	3.118+grm3u1	adduser	False
adwaita-icon-theme	3.38.0-1	adwaita-icon-theme	False
alsa-lib	1.2.4-1.1	libasound2,libasound2-data,libatopology2	False
alsa-plugins	1.2.2-2	libasound2-plugins	False
alsa-utils	1.2.4-1	alsa-utils	False
amd64-microcode	3.20230719.1~deb11u1	amd64-microcode	False
amtk	5.2.0-1	libamtk-5-0,libamtk-5-common	False
aom	1.0.0.errata1-3	libaom0	False
apg	2.2.3.dfsg.1-5	apg	False
apparmor	2.13.6-10	libapparmor1	False
appstream	0.14.4-1	appstream,apt-config-icons,libappstream4	False
appstream-glib	0.7.18-1	libappstream-glib8	False
apt	2.2.4	apt,apt-transport-https,apt-utils,libapt-pkg6.0	False
aptitude	0.8.13-3	aptitude,aptitude-common	False
arc-icon-theme	20161113+grm3u1	arc-icon-theme	False
arc-theme	20200513-1+grm2u1+han3u2	arc-theme	False
argon2	0~20171227-0.2	libargon2-1	False
arp-scan	1.9.7-2	arp-scan	False
aspell	0.60.8-3	libaspell15	False
at-spi2-atk	2.38.0-1	libatk-bridge2.0-0	False
at-spi2-core	2.38.0-4+deb11u1	at-spi2-core,libatspi2.0-0	False
atk1.0	2.36.0-2	gir1.2-atk-1.0,libatk1.0-0,libatk1.0-data	False
atkmm1.6	2.28.0-3	libatkmm-1.6-1v5	False
attr	1:2.4.48-6	attr,libattr1	False
audit	1:3.0-2	libaudit-common,libaudit1	False
avahi	0.8-5+deb11u2	libavahi-client3,libavahi-common-data,libavahi-common3,libavahi-glib1	False
ayatana-ido	0.8.2-1	libayatana-ido3-0.4-0	False
ayatana-indicator-application	0.8.0-1	ayatana-indicator-application	False
base-files	11.1+deb11u7	base-files	False
base-passwd	3.5.51	base-passwd	False
bash	5.1-2+deb11u1	bash	False
bash-completion	1:2.11-2	bash-completion	False
bc	1.07.1-2	bc,dc	False
bind9-libs	1:9.11.19+dfsg-2.1	libdns-export1110,libisc-export1105	False
binutils	2.35.2-2	binutils,binutils-common,binutils-x86-64-linux-gnu,libbinutils,libctf-nobfd0,libctf0	False
bluez	5.55-3.1	bluez,bluez-obexd,libbluetooth3	False
boost1.74	1.74.0-9	libboost-iostreams1.74.0	False
brlaser	6-1	printer-driver-brlaser	False
brotli	1.0.9-2	libbrotli1	False
bubblewrap	0.4.1-3	bubblewrap	False
busybox	1:1.30.1-6	busybox	False
bzip2	1.0.8-4	bzip2,libbz2-1.0	False
c2050	0.3b-8	printer-driver-c2050	False
c2esp	27-8	printer-driver-c2esp	False
ca-certificates	20210119	ca-certificates	False
cairo	1.16.0-5	libcairo-gobject2,libcairo2	False
cairomm	1.12.2-4	libcairomm-1.0-1v5	False
cdebconf	0.260	libdebconfclient0	False
cdparanoia	3.10.2+debian-13.1	libcdparanoia0	False
celluloid	0.20-2+grm3u6	celluloid,gnome-mpv	False
chardet	4.0.0-1	python3-chardet	False
cheese	3.38.0-3	cheese-common,libcheese-gtk25,libcheese8	False
chromaprint	1.5.0-2	libchromaprint1	False
cjet	0.8.9-8	printer-driver-cjet	False
clutter-1.0	1.26.4+dfsg-2	libclutter-1.0-0	False
clutter-gst-3.0	3.0.27-2	gstreamer1.0-clutter-3.0,libclutter-gst-3.0-0	False
clutter-gtk	1.8.4-4	libclutter-gtk-1.0-0	False
codec2	0.9.2-4	libcodec2-0.9	False
cogl	1.22.8-2	libcogl-pango20,libcogl-path20,libcogl20	False
