source	source_version	role	status	binary_architectures	repository_full_name	ref_kind	ref_name	commit_sha	tree_sha	match_scope
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/accountsservice	branch	gooroom-3.0	706c15ce56c8facdad9733989d305840ad109de8	4efcdc4c26fe2ca5bfc4d009e0ab918fbf06f91d	ref-tip
adduser	3.118+grm3u1	reuse-all	resolved	all	gooroom/adduser	branch	gooroom-3.0	e87eca4c870601b171882bd07f5a90ce866b5e70	b0d2c9f5aa79935f585634ad8a3440a9649a1298	ref-tip
arc-icon-theme	20161113+grm3u1	reuse-all	ambiguous-exact-version	all						
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	unresolved-version	all						
celluloid	0.20-2+grm3u6	rebuild-arm64	resolved	all,amd64	gooroom/celluloid	branch	gooroom-3.0	a9189cb213707e644db1cd6bf64d4961011eb1de	23fece2fc9e01cc75e10884e0206f3fd09982804	ref-tip
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	resolved	amd64	gooroom/cups-pk-helper	branch	gooroom-3.0	17d63a2c1b4777af75ab92885d53ba0bdfa351fb	ffd6553d22896794bf862b89e54778fd03ad2e57	ref-tip
debian-system-adjustments	3.2.1+grm3u1	reuse-all	resolved	all	gooroom/debian-system-adjustments	branch	master	a6a0f5177684ecc172799192a21da63597fb56a7	eb11c72d52d5bac3e9663de73ef96245b24944ca	ref-tip
dpkg	1.20.12+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/dpkg	branch-history	gooroom-3.0	57bf58365a689fed1995481c72b358ead3ed8187	1a5c57b238149446b5ea4f2a76916b3e72d051ef	pickaxe-depth-300
eog	3.38.2-1+grm3u4	rebuild-arm64	resolved	amd64	gooroom/eog	branch	gooroom-3.0	6db9c892f4b8b824cb49d0353dd74392235e02b9	6f2608b0ed80be8e4ed8f63b8930efd961bc921f	ref-tip
file-roller	3.38.1-1+grm3u3	rebuild-arm64	resolved	amd64	gooroom/file-roller	branch	gooroom-3.0	c7f4b12b289f3b81f709d528af38e759514fd448	4435151f83ccebc9a2465ff272c992deaf949cdc	ref-tip
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	resolved	all	gooroom/flat-remix-gtk-theme	branch	master	689bba9c971f020506e0834fc02f3c203582dcf3	98fcf009a6ebe838e6b9edf03fa208c795857027	ref-tip
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	resolved	all	hancom-io/gdebi	branch	hancom-3.0	26dc2b7b2971d58f9459aab5d243d41a7d90007a	caf3e4fd72b32128661ef4f5d2609e00346f72f1	ref-tip
gedit	3.38.1-1+grm3u3	rebuild-arm64	resolved	all,amd64	gooroom/gedit	branch	gooroom-3.0	a332db1abb2605e89e81b7c88f9c958607581dc1	3d2f30d1e6a87b2de8123f59773c72af6d36b168	ref-tip
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gnome-bluetooth	branch	master	377e4a327d5e26e2d202aab48da04d0a077d4f93	46ac22ded0d9e36d45ba2bd9ad5ae427f38cfca5	ref-tip
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	resolved	all,amd64	gooroom/gnome-control-center	branch-history	gooroom-3.0	55fd48f9dbf8d2bee0dea33478ed20e4867c9cbc	e4b8dd73f8668f6a30ac3fe333665b78cfa2d0f0	pickaxe-depth-300
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	unresolved-version	all,amd64						
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/gnome-panel	branch	gooroom-3.0	e64437b876dd907b082bb3709541eb27997958ee	84a8082db1aaa90f83bacc5606a23e13c2addd0d	ref-tip
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	resolved	amd64	gooroom/gnome-screenshot	branch	gooroom-3.0	0829ef62630f694dba017cc39f6422b777bd8396	d97cf1f6dfac3a1cc30679b0c5b63c47218d0bfb	ref-tip
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	resolved	all,amd64	gooroom/gnome-settings-daemon	branch	gooroom-3.0	f94e8eaddd981096dc167d69848b24b085b33cc5	a5fec2ac6898a8b0ce9dffd4377e06ef497d61ba	ref-tip
gooroom-agent-service	0.4.8+grm3u1	reuse-all	resolved	all	gooroom/gooroom-agent-service	branch	master	e36c9c0934710e2d70cb1f7dcb1507410edfea52	c0e8dd80095abd6c81659006b783f1ec1c278d4c	ref-tip
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	unresolved-version	amd64						
gooroom-archive-keyring	20201012+grm3u1	reuse-all	resolved	all	gooroom/gooroom-archive-keyring	branch	gooroom-3.0	d59dd39ec853898ed870c9fdcb688fefef143659	e806feedc6ec188f02816fadaf838cac3374e633	ref-tip
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	resolved	all	gooroom/gooroom-artwork-common	branch	gooroom-3.0	08af38619bf9b88be33bab7fa5e021288c88fdd9	c9300216251965461e95420e82793a2fc7b3d510	ref-tip
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	resolved	all	gooroom/gooroom-artwork-gnome-flashback	branch	gooroom-3.0	dfc53a6dda50a0544de9f5f0b5caf1bd44c57ae9	079be5b3127f1a4ff89d09a4adc5d14e95605798	ref-tip
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	unresolved-version	all						
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	resolved	all,amd64	gooroom/gooroom-browser	branch-history	gooroom-3.0-v115	829ad92a98f523a79c7b30f3d5b604bfaef03eb0	4a5e691645dad54a2a9636dcc21870c66418f978	pickaxe-depth-300
gooroom-client-server-register	1.1.1+han3u1	reuse-all	resolved	all	hancom-io/gooroom-client-server-register	branch	hancom-3.0	a474ca61b38c16e841bcfcf10caa4437f1dfd37e	acaa957e544af01d396144fbdd066f380f9d419d	ref-tip
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	resolved	all	gooroom/gooroom-dockbarx	branch	master	30c8db06001137852e6ea5b6b926711a4f9f5109	12b0945e3bd672cb616ace06391dcb8a3a62fec8	ref-tip
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	unresolved-version	amd64						
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	unresolved-version	amd64						
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	unresolved-version	amd64						
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	unresolved-version	all						
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-indicator-applet	branch	gooroom-3.0	cb5092080b8fbe48effd990e60084e938aa0b306	dae79af224f437e6ed12e9690b7d2a7f7f46292e	ref-tip
gooroom-info	3.3.0+grm3u1	reuse-all	resolved	all	gooroom/gooroom-info	branch-history	gooroom-3.0	ee417b75cfe8a442f4876591ce0ca3814f595bc2	c0d97f030de5d86080ac67ed3210eb6f80b018b7	pickaxe-depth-300
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	unresolved-version	amd64						
gooroom-libsecurity-extensions	0.1.7+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-libsecurity-extensions	branch	gooroom-3.0	4990bab95ae1dcaa29f38836da83edfa0969ed73	e1dce97d3cd69331047c01940b2593a0eaf2307a	ref-tip
gooroom-logout	0.3.0+grm3u1	rebuild-arm64	resolved	amd64	gooroom/gooroom-logout	branch	gooroom-3.0	28dcdee1a4297eaa5c3403a6b5630d3c23250379	fd614ae882300afbb5e91206547a21642a59807c	ref-tip
