source	source_version	role	status	official_repository_networks	repository_full_name	commit_sha	tree_sha
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	missing-exact-fork-history				
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	missing-exact-fork-history				
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	missing-exact-fork-history				
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	missing-exact-fork-history				
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	missing-exact-fork-history				
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	missing-exact-fork-history				
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	missing-exact-fork-history				
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	missing-exact-fork-history				
gooroom-integration-applet	0.3.1+grm3u1+han3u3	rebuild-arm64	missing-exact-fork-history				
gooroom-session-manager	0.3.9+grm3u1+han3u2	rebuild-arm64	missing-exact-fork-history				
gooroom-translations	20230728+han3u1	reuse-all	missing-exact-fork-history				
linux	5.10.179-1+grm3u1	rebuild-arm64	missing-exact-fork-history				
live-installer	2023.06.30+han3u1	reuse-all	missing-exact-fork-history				
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	rebuild-arm64	missing-exact-fork-history				
