source	source_version	status	result_path	repository_full_name	commit_sha	tree_sha	reason
gnome-control-center	1:3.38.4-1+grm3u9	resolved	arm64/locks/targeted-source-archaeology/results/gnome-control-center-3d7fa0106bdbb995/targeted-source-lock.json	gooroom/gnome-control-center	55fd48f9dbf8d2bee0dea33478ed20e4867c9cbc	e4b8dd73f8668f6a30ac3fe333665b78cfa2d0f0	all exact changelog matches identify one immutable Git tree
gnome-flashback	3.38.0-2+grm3u2+han3u4	unresolved	arm64/locks/targeted-source-archaeology/results/gnome-flashback-34560cd96bf38dd1/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-applauncher-applet-0dded470ea6d7eb0/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-browser	3.5.0-1+grm3u3	resolved	arm64/locks/targeted-source-archaeology/results/gooroom-browser-62b8345301036e78/targeted-source-lock.json	gooroom/gooroom-browser	829ad92a98f523a79c7b30f3d5b604bfaef03eb0	4a5e691645dad54a2a9636dcc21870c66418f978	all exact changelog matches identify one immutable Git tree
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-dockbarx-applet-ba6aca9acb52d21f/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-greeter	0.3.1+grm3u1+han3u2	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-greeter-9321d3b81170cc1f/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-guide	0.5.3+grm3u1+han3u1	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-guide-8ccd55553e613010/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-integration-applet	0.3.1+grm3u1+han3u3	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-integration-applet-46434f6664f36de9/targeted-source-archaeology.json				no exact changelog commit was found
gooroom-libsecurity-extensions	0.1.7+grm3u1	resolved	arm64/locks/targeted-source-archaeology/results/gooroom-libsecurity-extensions-b98b7da032f57b82/targeted-source-lock.json	gooroom/gooroom-libsecurity-extensions	4990bab95ae1dcaa29f38836da83edfa0969ed73	e1dce97d3cd69331047c01940b2593a0eaf2307a	all exact changelog matches identify one immutable Git tree
gooroom-security-status-tools	0.3.9+grm3u1	resolved	arm64/locks/targeted-source-archaeology/results/gooroom-security-status-tools-521d30d9c83b4f92/targeted-source-lock.json	gooroom/gooroom-security-status-tools	ef97dd1670744365acae9e5d176a96cd81d73671	083237804297c06e1f7dcec02436c226ca75f1ec	all exact changelog matches identify one immutable Git tree
gooroom-session-manager	0.3.9+grm3u1+han3u2	unresolved	arm64/locks/targeted-source-archaeology/results/gooroom-session-manager-93e247b89cdeeb87/targeted-source-archaeology.json				no exact changelog commit was found
linux	5.10.179-1+grm3u1	unresolved	arm64/locks/targeted-source-archaeology/results/linux-a0ece3eb669ede66/targeted-source-archaeology.json				no exact changelog commit was found
qtbase-opensource-src	5.15.2+dfsg-9+grm3u1	unresolved	arm64/locks/targeted-source-archaeology/results/qtbase-opensource-src-a9c7d95e95833f1a/targeted-source-archaeology.json				no exact changelog commit was found
