repository	path	http_code	content_type	size_download	url_effective
gooroom	dists/gooroom-3.0/InRelease	200	text/plain	4149	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/InRelease
gooroom	dists/gooroom-3.0/Release	200	text/plain	3441	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/Release
gooroom	dists/gooroom-3.0/main/binary-amd64/Packages	200	text/plain	494288	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/binary-amd64/Packages
gooroom	dists/gooroom-3.0/main/binary-amd64/Packages.gz	200	application/x-gzip	126027	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/binary-amd64/Packages.gz
gooroom	dists/gooroom-3.0/main/binary-arm64/Packages	404		10	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/binary-arm64/Packages
gooroom	dists/gooroom-3.0/main/binary-arm64/Packages.gz	404		10	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/binary-arm64/Packages.gz
gooroom	dists/gooroom-3.0/main/source/Sources	404		10	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/source/Sources
gooroom	dists/gooroom-3.0/main/source/Sources.gz	404		10	http://update.hancomgooroom.com/gooroom/dists/gooroom-3.0/main/source/Sources.gz
hancom	dists/hancom-3.0/InRelease	200	text/plain	6749	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/InRelease
hancom	dists/hancom-3.0/Release	200	text/plain	6041	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/Release
hancom	dists/hancom-3.0/main/binary-amd64/Packages	200	text/plain	30045	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/binary-amd64/Packages
hancom	dists/hancom-3.0/main/binary-amd64/Packages.gz	200	application/x-gzip	9024	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/binary-amd64/Packages.gz
hancom	dists/hancom-3.0/main/binary-arm64/Packages	404		10	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/binary-arm64/Packages
hancom	dists/hancom-3.0/main/binary-arm64/Packages.gz	404		10	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/binary-arm64/Packages.gz
hancom	dists/hancom-3.0/main/source/Sources	404		10	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/source/Sources
hancom	dists/hancom-3.0/main/source/Sources.gz	404		10	http://update.hancomgooroom.com/hancom/dists/hancom-3.0/main/source/Sources.gz
