source	source_version	role	status	repository	directory	dsc_name	dsc_sha256	url
accountsservice	0.6.55-3+grm3u1	rebuild-arm64	missing-exact-signed-dsc			accountsservice_0.6.55-3+grm3u1.dsc		
adduser	3.118+grm3u1	reuse-all	missing-exact-signed-dsc			adduser_3.118+grm3u1.dsc		
arc-icon-theme	20161113+grm3u1	reuse-all	missing-exact-signed-dsc			arc-icon-theme_20161113+grm3u1.dsc		
arc-theme	20200513-1+grm2u1+han3u2	reuse-all	missing-exact-signed-dsc			arc-theme_20200513-1+grm2u1+han3u2.dsc		
celluloid	0.20-2+grm3u6	rebuild-arm64	missing-exact-signed-dsc			celluloid_0.20-2+grm3u6.dsc		
cups-pk-helper	0.2.6-1ubuntu3+grm3u1	rebuild-arm64	missing-exact-signed-dsc			cups-pk-helper_0.2.6-1ubuntu3+grm3u1.dsc		
debian-system-adjustments	3.2.1+grm3u1	reuse-all	missing-exact-signed-dsc			debian-system-adjustments_3.2.1+grm3u1.dsc		
dpkg	1.20.12+grm3u1	rebuild-arm64	missing-exact-signed-dsc			dpkg_1.20.12+grm3u1.dsc		
eog	3.38.2-1+grm3u4	rebuild-arm64	missing-exact-signed-dsc			eog_3.38.2-1+grm3u4.dsc		
file-roller	3.38.1-1+grm3u3	rebuild-arm64	missing-exact-signed-dsc			file-roller_3.38.1-1+grm3u3.dsc		
flat-remix-gtk-theme	0.3.0+grm3u1	reuse-all	missing-exact-signed-dsc			flat-remix-gtk-theme_0.3.0+grm3u1.dsc		
gdebi	0.9.5.7+nmu5-1+grm3u2	reuse-all	missing-exact-signed-dsc			gdebi_0.9.5.7+nmu5-1+grm3u2.dsc		
gedit	3.38.1-1+grm3u3	rebuild-arm64	missing-exact-signed-dsc			gedit_3.38.1-1+grm3u3.dsc		
gnome-bluetooth	3.34.3-2+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gnome-bluetooth_3.34.3-2+grm3u1.dsc		
gnome-control-center	1:3.38.4-1+grm3u9	rebuild-arm64	missing-exact-signed-dsc			gnome-control-center_3.38.4-1+grm3u9.dsc		
gnome-flashback	3.38.0-2+grm3u2+han3u4	rebuild-arm64	missing-exact-signed-dsc			gnome-flashback_3.38.0-2+grm3u2+han3u4.dsc		
gnome-panel	3.38.0-1+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gnome-panel_3.38.0-1+grm3u1.dsc		
gnome-screenshot	3.38.0-1+grm3u2	rebuild-arm64	missing-exact-signed-dsc			gnome-screenshot_3.38.0-1+grm3u2.dsc		
gnome-settings-daemon	3.38.2-1+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gnome-settings-daemon_3.38.2-1+grm3u1.dsc		
gooroom-agent-service	0.4.8+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-agent-service_0.4.8+grm3u1.dsc		
gooroom-applauncher-applet	0.4.0+grm3u1+han3u2	rebuild-arm64	missing-exact-signed-dsc			gooroom-applauncher-applet_0.4.0+grm3u1+han3u2.dsc		
gooroom-archive-keyring	20201012+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-archive-keyring_20201012+grm3u1.dsc		
gooroom-artwork-common	1.3.3+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-artwork-common_1.3.3+grm3u1.dsc		
gooroom-artwork-gnome-flashback	0.4.4+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-artwork-gnome-flashback_0.4.4+grm3u1.dsc		
gooroom-bootsplash-theme	1.0.0+grm3u1+han3u1	reuse-all	missing-exact-signed-dsc			gooroom-bootsplash-theme_1.0.0+grm3u1+han3u1.dsc		
gooroom-browser	3.5.0-1+grm3u3	rebuild-arm64	missing-exact-signed-dsc			gooroom-browser_3.5.0-1+grm3u3.dsc		
gooroom-client-server-register	1.1.1+han3u1	reuse-all	missing-exact-signed-dsc			gooroom-client-server-register_1.1.1+han3u1.dsc		
gooroom-dockbarx	1.3.0+grm3u3	reuse-all	missing-exact-signed-dsc			gooroom-dockbarx_1.3.0+grm3u3.dsc		
gooroom-dockbarx-applet	0.3.1+grm3u1+han3u1	rebuild-arm64	missing-exact-signed-dsc			gooroom-dockbarx-applet_0.3.1+grm3u1+han3u1.dsc		
gooroom-greeter	0.3.1+grm3u1+han3u2	rebuild-arm64	missing-exact-signed-dsc			gooroom-greeter_0.3.1+grm3u1+han3u2.dsc		
gooroom-guide	0.5.3+grm3u1+han3u1	rebuild-arm64	missing-exact-signed-dsc			gooroom-guide_0.5.3+grm3u1+han3u1.dsc		
gooroom-icon-themes	1.3.6+grm3u1+han3u2	reuse-all	missing-exact-signed-dsc			gooroom-icon-themes_1.3.6+grm3u1+han3u2.dsc		
gooroom-indicator-applet	0.3.0+grm3u1	rebuild-arm64	missing-exact-signed-dsc			gooroom-indicator-applet_0.3.0+grm3u1.dsc		
gooroom-info	3.3.0+grm3u1	reuse-all	missing-exact-signed-dsc			gooroom-info_3.3.0+grm3u1.dsc		
